	bad	good
9.411801475184396e-05	14.247680437815378	4.13425189661404
9.474296787098387e-05	14.256760545763314	3.9668408115538814
9.536792099012376e-05	13.871840417133168	4.075893553551431
9.599287410926366e-05	13.96170807806983	3.8332795526420735
9.661782722840356e-05	14.446224202100932	3.8896138606580006
9.724278034754345e-05	13.811981310048473	3.930638505109147
9.786773346668332e-05	13.182353621386529	4.049198854459717
9.849268658582322e-05	13.361946513754404	4.003732468671728
9.911763970496312e-05	12.097377074385609	3.819919051271509
9.974259282410301e-05	12.428226092433402	3.8413661284875324
0.00010036754594324292	12.391650419748878	3.80307918224194
0.0001009924990623828	12.970137294067332	3.7499512249159968
0.00010161745218152271	12.688519698426099	3.6868613701668878
0.00010224240530066258	11.697016321125865	3.710399062730451
0.00010286735841980248	12.852941453124007	3.7941484973689104
0.00010349231153894235	12.32488024660086	3.67573956677243
0.00010411726465808224	12.308443712289277	3.7197396395355407
0.00010474221777722215	12.750882870460021	3.6343337547865073
0.00010536717089636204	13.325961517746128	3.685484241111992
0.00010599212401550194	12.55343940028575	3.703943036351663
0.00010661707713464184	12.100127562700454	3.5752500291310048
0.00010724203025378173	11.488062262183382	3.3704915092206305
0.0001078669833729216	11.640684233986324	3.6140773218810653
0.00010849193649206153	10.89212897987681	3.589115505471824
0.0001091168896112014	11.617028393165569	3.4179165696630336
0.00010974184273034129	11.825297366778225	3.3583860429612686
0.0001103667958494812	12.016664460139214	3.387623271969267
0.00011099174896862107	11.873035929659416	3.4612692814227426
0.00011161670208776096	9.853563051288667	3.473095469786565
0.00011224165520690086	10.76466282630428	3.5241815776829384
0.00011286660832604077	10.491661731326452	3.4990518155872907
0.00011349156144518065	11.207124712176505	3.436757574273862
0.00011411651456432056	11.13206251213764	3.377000465312703
0.00011474146768346045	10.597822210758176	3.2543931524437584
0.00011536642080260032	10.19074785784392	3.2351619190308467
0.0001159913739217402	9.427585324146843	3.2857774387853893
0.0001166163270408801	9.886452935238982	3.339856049253121
0.00011724128016001999	9.947734306539568	3.347791757053085
0.00011786623327915989	9.887872253237454	3.233615230020323
0.0001184911863982998	9.494168491150806	3.426167042412813
0.00011911613951743968	10.415198283620345	3.1550898692943923
0.00011974109263657959	10.18080078340267	3.201913370607314
0.00012036604575571946	9.889727337008992	3.3777377643840283
0.00012099099887485935	10.445389988284663	3.199411058378397
0.00012161595199399924	9.896781731082712	3.1515338276891276
0.00012224090511313914	9.4220598426594	3.1752683693929296
0.00012286585823227902	9.609490265249214	3.177553508207294
0.00012349081135141894	9.814357059629593	3.129714299435099
0.00012411576447055882	8.724247350814421	3.161114402787897
0.0001247407175896987	9.333899422777087	3.1512528908147965
0.0001253656707088386	9.278288034249233	3.0900623273673418
0.00012599062382797848	8.505197446980336	3.0313861543277674
0.0001266155769471184	8.357248042602782	3.2158148568520044
0.00012724053006625828	8.379355748778998	3.1052340821729834
0.00012786548318539817	8.508743733926554	2.999843269769029
0.00012849043630453806	8.8630607170675	2.9572822625871282
0.00012911538942367794	9.824913991104909	2.987643486500824
0.00012974034254281788	8.927330093278135	2.9487534251419345
0.00013036529566195774	8.246007321777189	2.9098503990995463
0.00013099024878109763	8.751844884401581	2.9999171123192223
0.00013161520190023754	8.319356044880514	3.0138540591617073
0.00013224015501937743	8.47945918420356	2.927754902358287
0.00013286510813851732	8.178876585218546	3.019540310629567
0.0001334900612576572	8.059354888671553	3.0111612080227372
0.0001341150143767971	8.433055339046021	2.965611187662567
0.000134739967495937	9.035617809073567	3.0273211130622184
0.00013536492061507692	8.340245839417825	2.816551110500406
0.00013598987373421675	8.881306639366237	2.9490853923850944
0.00013661482685335666	7.39618805157262	3.0663526765800166
0.00013723977997249655	7.843748037611187	2.8547671171469253
0.00013786473309163646	7.9858479089210945	2.9322278069794496
0.00013848968621077637	7.992038753673453	2.9332740628857272
0.00013911463932991623	7.529910895720885	2.870277729387432
0.00013973959244905612	7.765261320802379	2.9343083905769003
0.00014036454556819603	7.8085929725412715	2.859523707313122
0.00014098949868733592	8.29166538936849	2.792921553671351
0.0001416144518064758	8.41813069251456	2.8333168921363265
0.0001422394049256157	7.956243623804447	2.8954554967441597
0.00014286435804475558	8.248940946183186	2.8082242509542583
0.00014348931116389552	7.368530480067341	2.8576510403681277
0.00014411426428303538	7.852593436408895	2.8376683301444365
0.00014473921740217527	7.545764821626149	2.8692716498735784
0.00014536417052131515	7.462740191733165	2.7811263864233533
